序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1036,2571,德力股份,安徽德力日用玻璃股份有限公司,滁州市,凤阳县,7.96亿,6049.43万,2230,2011-04-12,--,,玻璃,主营业务:从事日用玻璃器皿研发、生产和销售,从事日用玻璃器皿研发、生产和销售
1037,2572,索菲亚,索菲亚家居股份有限公司,广州市,增城区,61.61亿,9.05亿,11943,2011-04-12,--,,橱柜衣柜,主营业务:定制衣柜及其配套定制家具的研发、生产和销售,定制衣柜及其配套定制家具的研发、生产和销售
1038,2573,清新环境,北京清新环境技术股份有限公司,北京市,海淀区,40.94亿,6.74亿,2440,2011-04-22,--,,大气污染治理,主营业务:燃煤电厂烟气脱硫脱硝装置的建造和运营。,燃煤电厂烟气脱硫脱硝装置的建造和运营。
1039,2574,明牌珠宝,浙江明牌珠宝股份有限公司,绍兴市,柯桥区,36.86亿,8695.66万,1007,2011-04-22,--,,珠宝首饰,主营业务:中高档珠宝首饰产品的设计、研发、生产及销售，核心业务是对“明”牌珠宝品牌的连锁经营管理。,中高档珠宝首饰产品的设计、研发、生产及销售，核心业务是对“明”牌珠宝品牌的连锁经营管理。
1040,2575,群兴玩具,广东群兴玩具股份有限公司,汕头市,澄海区,5393.58万,-2141.28万,17,2011-04-22,--,,玩具,主营业务:电子电动玩具的研发设计、生产及销售业务,电子电动玩具的研发设计、生产及销售业务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1041,2576,通达动力,江苏通达动力科技股份有限公司,南通市,通州区,10.85亿,-115.26万,1165,2011-04-28,--,,电机,主营业务:中小型电动机、发电机，定转子铁芯的研发、生产、销售和服务。,中小型电动机、发电机，定转子铁芯的研发、生产、销售和服务。
1042,2577,雷柏科技,深圳雷柏科技股份有限公司,深圳市,龙岗区,5.00亿,1144.74万,1008,2011-04-28,--,,PC、服务器及硬件,主营业务:鼠标、键盘生产与销售，机器人系统和计算机软硬件及外围设备的技术开发、技术咨询、技术服务。无人机的研发、生产、销售。,鼠标、键盘生产与销售，机器人系统和计算机软硬件及外围设备的技术开发、技术咨询、技术服务。无人机的研发、生产、销售。
1043,2578,闽发铝业,福建省闽发铝业股份有限公司,泉州市,南安市,12.29亿,3755.21万,1373,2011-04-28,--,,铝,主营业务:建筑铝型材和工业铝型材的生产、销售。,建筑铝型材和工业铝型材的生产、销售。
1044,2579,中京电子,惠州中京电子科技股份有限公司,惠州市,惠城区,10.77亿,2374.40万,2162,2011-05-06,--,,印制电路板,主营业务:新型电子元器件（高密度印刷线路板等）的研发、生产和销售,新型电子元器件（高密度印刷线路板等）的研发、生产和销售
1045,2580,圣阳股份,山东圣阳电源股份有限公司,济宁市,曲阜市,17.06亿,3164.90万,2011,2011-05-06,--,,电池,主营业务:向客户提供储能电源、备用电源、动力电源和系统解决方案及运营服务。,向客户提供储能电源、备用电源、动力电源和系统解决方案及运营服务。
1046,2581,未名医药,山东未名生物医药股份有限公司,淄博市,张店区,11.62亿,3.92亿,914,2011-05-20,--,,化学制剂,主营业务:农药中间体、医药中间体、生物医药的研发、生产和销售,农药中间体、医药中间体、生物医药的研发、生产和销售
1047,2582,好想你,好想你健康食品股份有限公司,郑州市,新郑市,40.70亿,9736.61万,4773,2011-05-20,--,,休闲食品,"主营业务:枣树种植,枣产品的生产、加工和销售","枣树种植,枣产品的生产、加工和销售"
1048,2583,海能达,海能达通信股份有限公司,深圳市,南山区,53.52亿,2.45亿,8930,2011-05-27,--,,通信终端设备,主营业务:从事对讲机终端、集群系统等专业无线通信设备的研发、生产、销售和服务，并提供整体解决方案。,从事对讲机终端、集群系统等专业无线通信设备的研发、生产、销售和服务，并提供整体解决方案。
1049,2584,西陇科学,西陇科学股份有限公司,汕头市,金平区,33.05亿,8254.98万,1264,2011-06-02,--,,其他化学制品,主营业务:化学试剂、原料药及药用辅料、食品添加剂、化工原料及化工产品、医疗器械的研发、生产和销售。,化学试剂、原料药及药用辅料、食品添加剂、化工原料及化工产品、医疗器械的研发、生产和销售。
1050,2585,双星新材,江苏双星彩塑新材料股份有限公司,宿迁市,宿豫区,30.23亿,7465.12万,1335,2011-06-02,--,,包装印刷,主营业务:先进高分子复合材料、光电新材料、光学膜、太阳能电池背板、聚酯电容膜、信息材料、热收缩材料等聚酯薄膜的研发、生产和销售,先进高分子复合材料、光电新材料、光学膜、太阳能电池背板、聚酯电容膜、信息材料、热收缩材料等聚酯薄膜的研发、生产和销售
1051,2586,围海股份,浙江省围海建设集团股份有限公司,宁波市,江东区,28.71亿,2.18亿,803,2011-06-02,--,,水利建设,主营业务:海堤工程、城市防洪工程、河道工程、水库工程、城市防洪工程及其他水利工程,海堤工程、城市防洪工程、河道工程、水库工程、城市防洪工程及其他水利工程
1052,2587,奥拓电子,深圳市奥拓电子股份有限公司,深圳市,南山区,10.41亿,1.31亿,1364,2011-06-10,--,,LED,主营业务:LED显示系统和电子回单系统的研发、设计、生产、销售及相应专业服务,LED显示系统和电子回单系统的研发、设计、生产、销售及相应专业服务
1053,2588,史丹利,史丹利农业集团股份有限公司,临沂市,临沭县,52.69亿,2.65亿,3759,2011-06-10,--,,复合肥,主营业务:生产经营高浓度复混肥料﹙复合肥料﹚、掺混肥。,生产经营高浓度复混肥料﹙复合肥料﹚、掺混肥。
1054,2589,瑞康医药,瑞康医药集团股份有限公司,烟台市,芝罘区,232.94亿,13.68亿,6914,2011-06-10,--,,医药商业,主营业务:药品销售,药品销售
1055,2590,万安科技,浙江万安科技股份有限公司,绍兴市,诸暨市,22.75亿,1.31亿,3344,2011-06-10,--,,汽车零部件,主营业务:汽车制动系统的研发、生产和销售和配套服务,汽车制动系统的研发、生产和销售和配套服务
1056,2591,恒大高新,江西恒大高新技术股份有限公司,南昌市,青山湖区,2.59亿,-141.43万,532,2011-06-21,--,,其他化学制品,主营业务:防磨抗蚀业务和互联网营销业务,防磨抗蚀业务和互联网营销业务
1057,2592,八菱科技,南宁八菱科技股份有限公司,南宁市,西乡塘区,7.75亿,1.35亿,880,2011-11-11,--,,汽车零部件,主营业务:热交换器的研发、生产和销售,热交换器的研发、生产和销售
1058,2593,日上集团,厦门日上集团股份有限公司,厦门市,集美区,19.91亿,6650.75万,3184,2011-06-28,--,,汽车零部件,主营业务:钢结构及汽车车轮的研发、设计、生产及销售。,钢结构及汽车车轮的研发、设计、生产及销售。
1059,2594,比亚迪,比亚迪股份有限公司,深圳市,龙岗区,1059.15亿,49.17亿,222000,2011-06-30,--,,乘用车,主营业务:包含传统燃油汽车及新能源汽车在内的汽车业务、手机部件及组装业务，以及二次充电电池及新能源业务,包含传统燃油汽车及新能源汽车在内的汽车业务、手机部件及组装业务，以及二次充电电池及新能源业务
1060,2595,豪迈科技,山东豪迈机械科技股份有限公司,潍坊市,高密市,29.95亿,6.75亿,10771,2011-06-28,--,,机床设备,主营业务:汽车子午线轮胎模具及轮胎制造设备的生产、销售及相关技术开发。,汽车子午线轮胎模具及轮胎制造设备的生产、销售及相关技术开发。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1061,2596,海南瑞泽,海南瑞泽新型建材股份有限公司,三亚市,三亚市,28.78亿,1.81亿,1305,2011-07-07,--,,其他建材,主营业务:商品混凝土、新型墙体材料与水泥的生产与销售以及园林绿化业务,商品混凝土、新型墙体材料与水泥的生产与销售以及园林绿化业务
1062,2597,金禾实业,安徽金禾实业股份有限公司,滁州市,来安县,44.80亿,10.44亿,3065,2011-07-07,--,,其他化学制品,主营业务:精细化工产品和基础化工产品的生产、研发和销售。,精细化工产品和基础化工产品的生产、研发和销售。
1063,2598,山东章鼓,山东省章丘鼓风机股份有限公司,济南市,章丘市,7.01亿,6910.89万,1044,2011-07-07,--,,风能,"主营业务:生产和销售以""齐鲁""""章鼓""为商标的鼓风机、相关配套产品以及水泥成套设备等","生产和销售以""齐鲁""""章鼓""为商标的鼓风机、相关配套产品以及水泥成套设备等"
1064,2599,盛通股份,北京盛通印刷股份有限公司,北京市,大兴区,14.03亿,9260.30万,2651,2011-07-15,--,,包装印刷,"主营业务:文化出版物、大型商业印刷的综合管理服务,为国内外出版社及大型商业客户提供全方位、一体化的综合印刷管理服务","文化出版物、大型商业印刷的综合管理服务,为国内外出版社及大型商业客户提供全方位、一体化的综合印刷管理服务"
1065,2600,领益智造,广东领益智造股份有限公司,江门市,蓬江区,96.37亿,16.86亿,18720,2011-07-15,--,,磁性材料,主营业务:新型电子元器件、手机及电脑配件的生产和销售。,新型电子元器件、手机及电脑配件的生产和销售。
1066,2601,龙蟒佰利,龙蟒佰利联集团股份有限公司,焦作市,中站区,103.53亿,25.89亿,7060,2011-07-15,--,,其他化学制品,主营业务:钛白粉、锆制品等产品的生产与销售,钛白粉、锆制品等产品的生产与销售
1067,2602,世纪华通,浙江世纪华通集团股份有限公司,绍兴市,上虞区,34.91亿,7.85亿,3588,2011-07-28,--,,汽车零部件,主营业务:汽车零部件制造和互联网游戏,汽车零部件制造和互联网游戏
1068,2603,以岭药业,石家庄以岭药业股份有限公司,石家庄市,裕华区,40.81亿,5.37亿,5239,2011-07-28,--,,中药生产,主营业务:致力于中成药的研发、生产与销售,致力于中成药的研发、生产与销售
1069,2604,*ST龙力,山东龙力生物科技股份有限公司,德州市,禹城市,19.66亿,-34.86亿,1400,2011-07-28,--,,功能糖、淀粉糖,主营业务:功能糖、淀粉及淀粉糖、纤维素乙醇等产品的生产、销售,功能糖、淀粉及淀粉糖、纤维素乙醇等产品的生产、销售
1070,2605,姚记扑克,上海姚记扑克股份有限公司,上海市,嘉定区,6.63亿,8074.00万,588,2011-08-05,--,,体育用品,主营业务:扑克牌的生产和销售。,扑克牌的生产和销售。
1071,2606,大连电瓷,大连电瓷集团股份有限公司,大连市,金州区,8.33亿,6097.25万,1362,2011-08-05,--,,其他输变电设备,主营业务:从事高压输电线路用瓷、复合绝缘子；电站用瓷、复合绝缘子；电瓷金具等产品的研发、生产及销售,从事高压输电线路用瓷、复合绝缘子；电站用瓷、复合绝缘子；电瓷金具等产品的研发、生产及销售
1072,2607,中公教育,中公教育科技股份有限公司,芜湖市,鸠江区,40.31亿,5.25亿,3362,2011-08-10,--,,汽车销售,"主营业务:从事非学历职业就业培训服务,通过旗下培训机构向学员提供教育培训业务","从事非学历职业就业培训服务,通过旗下培训机构向学员提供教育培训业务"
1073,2608,江苏国信,江苏国信股份有限公司,南京市,玄武区,202.04亿,28.24亿,3940,2011-08-10,--,,其他发电,主营业务:信托、火力发电双主业,信托、火力发电双主业
1074,2609,捷顺科技,深圳市捷顺科技实业股份有限公司,深圳市,福田区,9.50亿,2.11亿,2712,2011-08-15,--,,行业应用软件,主营业务:智能停车场管理系统、智能通道闸管理系统、智能门禁管理系统等产品的销售和服务。,智能停车场管理系统、智能通道闸管理系统、智能门禁管理系统等产品的销售和服务。
1075,2610,爱康科技,江苏爱康科技股份有限公司,无锡市,江阴市,48.56亿,1.12亿,2569,2011-08-15,--,,太阳能,主营业务:光伏太阳能配件的研发设计、生产与销售,光伏太阳能配件的研发设计、生产与销售
1076,2611,东方精工,广东东方精工科技股份有限公司,佛山市,南海区,46.85亿,5.21亿,1993,2011-08-30,--,,印刷包装设备,主营业务:智能自动化瓦楞纸箱包装设备”和“船用动力设备”的设计、研发、生产、销售与服务、新能源汽车动力电池系统,智能自动化瓦楞纸箱包装设备”和“船用动力设备”的设计、研发、生产、销售与服务、新能源汽车动力电池系统
1077,2612,朗姿股份,朗姿股份有限公司,北京市,顺义区,23.53亿,1.93亿,4365,2011-08-30,--,,女装,主营业务:品牌女装的设计、生产与销售,品牌女装的设计、生产与销售
1078,2613,北玻股份,洛阳北方玻璃技术股份有限公司,洛阳市,涧西区,11.34亿,-4594.96万,2568,2011-08-30,--,,其他专用机械,主营业务:玻璃钢化设备、低辐射镀膜玻璃设备、深加工玻璃等。,玻璃钢化设备、低辐射镀膜玻璃设备、深加工玻璃等。
1079,2614,奥佳华,奥佳华智能健康科技集团股份有限公司,厦门市,思明区,42.94亿,3.55亿,8768,2011-09-09,--,,按摩小家电,主营业务:研发、销售一类医疗器械、保健器具、康复理疗器具（不含假肢、矫形器（辅助器具））、健身器材、美容器具、家居产品,研发、销售一类医疗器械、保健器具、康复理疗器具（不含假肢、矫形器（辅助器具））、健身器材、美容器具、家居产品
1080,2615,哈尔斯,浙江哈尔斯真空器皿股份有限公司,金华市,永康市,14.39亿,1.03亿,3711,2011-09-09,--,,不锈钢,主营业务:不锈钢真空保温器皿的研发设计、生产与销售,不锈钢真空保温器皿的研发设计、生产与销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1081,2616,长青集团,广东长青(集团)股份有限公司,中山市,中山市,18.93亿,8758.04万,3618,2011-09-20,--,,小家电,主营业务:环保业务（包括生物质资源综合利用、集中供热暨热电联产等节能减排业务）以及燃气具及配套产品的生产和销售。,环保业务（包括生物质资源综合利用、集中供热暨热电联产等节能减排业务）以及燃气具及配套产品的生产和销售。
1082,2617,露笑科技,露笑科技股份有限公司,绍兴市,诸暨市,32.45亿,3.16亿,1432,2011-09-20,--,,电线电缆,主营业务:漆包线、机电和蓝宝石的生产、销售,漆包线、机电和蓝宝石的生产、销售
1083,2618,丹邦科技,深圳丹邦科技股份有限公司,深圳市,南山区,3.17亿,2537.36万,1193,2011-09-20,--,,电子元件,主营业务:FPC、COF柔性封装基板及COF产品的研发、生产与销售,FPC、COF柔性封装基板及COF产品的研发、生产与销售
1084,2619,艾格拉斯,艾格拉斯股份有限公司,金华市,婺城区,8.45亿,4.14亿,990,2011-09-29,--,,游戏,主营业务:互联网信息服务、软件服务及文化产业,互联网信息服务、软件服务及文化产业
1085,2620,瑞和股份,深圳瑞和建筑装饰股份有限公司,深圳市,罗湖区,30.06亿,1.49亿,503,2011-09-29,--,,装修装饰,主营业务:建筑装饰工程的设计与施工,建筑装饰工程的设计与施工
1086,2621,三垒股份,大连三垒机器股份有限公司,大连市,大连市,1.77亿,1788.50万,409,2011-09-29,--,,其他专用机械,主营业务:塑料管道成套制造装备的研发、设计、生产与销售,塑料管道成套制造装备的研发、设计、生产与销售
1087,2622,融钰集团,融钰集团股份有限公司,吉林市,船营区,1.95亿,7387.62万,658,2011-10-18,--,,其他输变电设备,主营业务:研发、生产和销售各种规格的永磁开关产品，也经营其他业务及产品，如高低压开关柜（成套设备）、电子式电能表、高速公路交通设施等。,研发、生产和销售各种规格的永磁开关产品，也经营其他业务及产品，如高低压开关柜（成套设备）、电子式电能表、高速公路交通设施等。
1088,2623,亚玛顿,常州亚玛顿股份有限公司,常州市,天宁区,16.12亿,-1906.45万,1392,2011-10-13,--,,玻璃,主营业务:光伏玻璃镀膜技术的研发以及光伏镀膜玻璃的生产和销售,光伏玻璃镀膜技术的研发以及光伏镀膜玻璃的生产和销售
1089,2624,完美世界,完美世界股份有限公司,湖州市,德清县,79.30亿,14.60亿,4965,2011-10-28,--,,游戏,主营业务:电影的制作、发行及衍生业务;电视剧的制作、发行及衍生业务;艺人经纪服务及相关服务业务,电影的制作、发行及衍生业务;电视剧的制作、发行及衍生业务;艺人经纪服务及相关服务业务
1090,2625,光启技术,光启技术股份有限公司,杭州市,桐庐县,3.80亿,7979.58万,838,2011-11-03,--,,汽车零部件,主营业务:超材料智能结构及装备的研发、生产及销售;汽车座椅功能件及其他金属零部件的研发、生产和销售,超材料智能结构及装备的研发、生产及销售;汽车座椅功能件及其他金属零部件的研发、生产和销售
1091,2626,金达威,厦门金达威集团股份有限公司,厦门市,海沧区,20.85亿,4.65亿,1837,2011-10-28,--,,化学原料药,主营业务:食品营养强化剂行业原料和保健食品终端产品的生产、销售业务,食品营养强化剂行业原料和保健食品终端产品的生产、销售业务
1092,2627,宜昌交运,湖北宜昌交运集团股份有限公司,宜昌市,伍家岗区,20.37亿,1.14亿,3090,2011-11-03,--,,公交,主营业务:旅客运输及运输服务、汽车销售及售后服务,旅客运输及运输服务、汽车销售及售后服务
1093,2628,成都路桥,成都市路桥工程股份有限公司,成都市,武侯区,19.87亿,2235.15万,626,2011-11-03,--,,路桥建设,主营业务:公路、桥梁、隧道工程的建筑施工,公路、桥梁、隧道工程的建筑施工
1094,2629,仁智股份,浙江仁智股份有限公司,温州市,龙湾区,32.23亿,-3135.00万,251,2011-11-03,--,,油田服务,主营业务:油气田技术服务和石化产品销售,油气田技术服务和石化产品销售
1095,2630,华西能源,华西能源工业股份有限公司,自贡市,沿滩区,41.34亿,1.94亿,1928,2011-11-11,--,,锅炉,主营业务:优化节能型锅炉、新能源综合利用型锅炉及其配套产品的设计、制造和销售，以及根据客户的需求对能源工程项目提供设计、采购、施工、试运行（竣工验收）等实行全过程或若干阶段的工程总承包服务。,优化节能型锅炉、新能源综合利用型锅炉及其配套产品的设计、制造和销售，以及根据客户的需求对能源工程项目提供设计、采购、施工、试运行（竣工验收）等实行全过程或若干阶段的工程总承包服务。
1096,2631,德尔未来,德尔未来科技控股集团股份有限公司,苏州市,吴江区,16.00亿,8895.33万,2475,2011-11-11,--,,橱柜衣柜,"主营业务:定制家居的研发、生产和销售,石墨烯制备设备的研发、生产和销售,以及石墨烯相关产品的应用推广,地面新材料的设计、研究和销售业务。","定制家居的研发、生产和销售,石墨烯制备设备的研发、生产和销售,以及石墨烯相关产品的应用推广,地面新材料的设计、研究和销售业务。"
1097,2632,道明光学,道明光学股份有限公司,金华市,永康市,8.07亿,1.23亿,1226,2011-11-22,--,,其他化学制品,主营业务:反光材料及反光制品的研发、设计及生产,反光材料及反光制品的研发、设计及生产
1098,2633,申科股份,申科滑动轴承股份有限公司,绍兴市,诸暨市,1.74亿,541.25万,453,2011-11-22,--,,基础件,主营业务:轴承及部套件、电机零部件的研发、生产和销售,轴承及部套件、电机零部件的研发、生产和销售
1099,2634,棒杰股份,浙江棒杰数码针织品股份有限公司,金华市,义乌市,4.49亿,5710.85万,1212,2011-12-05,--,,其他服装,主营业务:无缝服装的设计、研发、生产和营销,无缝服装的设计、研发、生产和营销
1100,2635,安洁科技,苏州安洁科技股份有限公司,苏州市,吴中区,27.15亿,3.89亿,6715,2011-11-25,--,,消费电子设备,主营业务:笔记本电脑和手机等消费电子产品中使用的内部和外部功能性器件的生产销售。,笔记本电脑和手机等消费电子产品中使用的内部和外部功能性器件的生产销售。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1101,2636,金安国纪,金安国纪科技股份有限公司,上海市,松江区,36.76亿,5.37亿,2255,2011-11-25,--,,印制电路板,主营业务:生产销售覆铜板、半固化片等,生产销售覆铜板、半固化片等
1102,2637,赞宇科技,赞宇科技集团股份有限公司,杭州市,上城区,69.08亿,1.58亿,2041,2011-11-25,--,,日用化学品,主营业务:从事表面活性剂及油脂化工产品的生产、销售业务，并提供食品安全等第三方检测认证服务。,从事表面活性剂及油脂化工产品的生产、销售业务，并提供食品安全等第三方检测认证服务。
1103,2638,勤上股份,东莞勤上光电股份有限公司,东莞市,东莞市,16.09亿,9801.67万,4901,2011-11-25,--,,LED,主营业务:教育培训和半导体照明,教育培训和半导体照明
1104,2639,雪人股份,福建雪人股份有限公司,福州市,长乐市,9.37亿,-6364.58万,2459,2011-12-05,--,,制冷空调设备,主营业务:工业及高端商业制冰机及制冰系统的研发和制造,工业及高端商业制冰机及制冰系统的研发和制造
1105,2640,跨境通,跨境通宝电子商务股份有限公司,太原市,迎泽区,140.18亿,7.67亿,6694,2011-12-08,--,,电子商务B2B,主营业务:跨境电商业务,跨境电商业务
1106,2641,永高股份,永高股份有限公司,台州市,黄岩区,45.70亿,1.93亿,5457,2011-12-08,--,,管材,主营业务:塑料管道和塑料型材的研发、生产和销售,塑料管道和塑料型材的研发、生产和销售
1107,2642,荣之联,北京荣之联科技股份有限公司,北京市,海淀区,18.89亿,-2.02亿,1353,2011-12-20,--,,行业应用软件,主营业务:系统集成、技术开发与服务、系统产品销售、车载信息终端销售,系统集成、技术开发与服务、系统产品销售、车载信息终端销售
1108,2643,万润股份,中节能万润股份有限公司,烟台市,烟台市,24.56亿,3.85亿,3158,2011-12-20,--,,其他化学制品,主营业务:信息材料产业、环保材料产业和大健康产业三个领域产品的研发、生产和销售。,信息材料产业、环保材料产业和大健康产业三个领域产品的研发、生产和销售。
1109,2644,佛慈制药,兰州佛慈制药股份有限公司,兰州市,城关区,5.01亿,7409.28万,1475,2011-12-22,--,,中药生产,主营业务:中成药及大健康产品的研发、制造和销售，中药材种植、加工及销售。,中成药及大健康产品的研发、制造和销售，中药材种植、加工及销售。
1110,2645,华宏科技,江苏华宏科技股份有限公司,无锡市,江阴市,13.00亿,1.23亿,1455,2011-12-20,--,,电梯零部件,主营业务:再生资源加工设备的研发、生产和销售。,再生资源加工设备的研发、生产和销售。
1111,2646,青青稞酒,青海互助青稞酒股份有限公司,海东市,海东市,13.18亿,-9841.80万,2341,2011-12-22,--,,白酒,主营业务:青稞酒的研发、生产、销售,青稞酒的研发、生产、销售
1112,2647,仁东控股,仁东控股股份有限公司,绍兴市,诸暨市,9.53亿,-2.15亿,224,2011-12-28,--,,其他互联网金融,主营业务:第三方支付、保理、供应链等业务,第三方支付、保理、供应链等业务
1113,2648,卫星石化,浙江卫星石化股份有限公司,嘉兴市,南湖区,81.88亿,9.35亿,2125,2011-12-28,--,,其他化学原料,主营业务:丙烯、丙烯酸及酯等产品的生产和销售。,丙烯、丙烯酸及酯等产品的生产和销售。
1114,2649,博彦科技,博彦科技股份有限公司,北京市,海淀区,22.50亿,2.19亿,11144,2012-01-06,--,,其他软件服务,主营业务:为客户提供信息服务外包（ITO）服务和基于信息技术的业务流程外包（BPO）服务,为客户提供信息服务外包（ITO）服务和基于信息技术的业务流程外包（BPO）服务
1115,2650,加加食品,加加食品集团股份有限公司,长沙市,宁乡县,18.91亿,1.59亿,1415,2012-01-06,--,,调味品,主营业务:酱油、食用植物油、食醋、味精和鸡精的生产和销售,酱油、食用植物油、食醋、味精和鸡精的生产和销售
1116,2651,利君股份,成都利君实业股份有限公司,成都市,武侯区,5.25亿,1.29亿,767,2012-01-06,--,,矿山冶金机械,主营业务:从事高效、节能、环保的辊压机（高压辊磨机）及其配套设备的研发、制造和销售，以提供高效节能的粉磨工艺系统为发展战略，致力于为水泥、矿山等生产领域提供粉磨系统的最佳解决方案。,从事高效、节能、环保的辊压机（高压辊磨机）及其配套设备的研发、制造和销售，以提供高效节能的粉磨工艺系统为发展战略，致力于为水泥、矿山等生产领域提供粉磨系统的最佳解决方案。
1117,2652,扬子新材,苏州扬子江新型材料股份有限公司,苏州市,相城区,26.09亿,1.39亿,927,2012-01-19,--,,其他建材,主营业务:有机涂层板及其基板的研发、生产和销售。,有机涂层板及其基板的研发、生产和销售。
1118,2653,海思科,海思科医药集团股份有限公司,山南市,乃东区,18.56亿,2.29亿,1943,2012-01-17,--,,化学制剂,主营业务:化药制剂及原料药的研发、生产和销售,化药制剂及原料药的研发、生产和销售
1119,2654,万润科技,深圳万润科技股份有限公司,深圳市,深圳市,30.42亿,1.41亿,2234,2012-02-17,--,,LED,主营业务:LED光源器件封装、照明业务、照明工程设计及施工业务和广告传媒业务,LED光源器件封装、照明业务、照明工程设计及施工业务和广告传媒业务
1120,2655,共达电声,共达电声股份有限公司,潍坊市,坊子区,7.87亿,-1.75亿,3145,2012-02-17,--,,电子零部件,主营业务:研发、生产、销售声学元器件，半导体类微机电产品，高精度电子产品模具，电子产品自动化生产设备，与手机、汽车、电脑相关的电声组件或其他衍生产品，与以上技术、产品相关的解决方案和服务、进出口业务(不含分销)。,研发、生产、销售声学元器件，半导体类微机电产品，高精度电子产品模具，电子产品自动化生产设备，与手机、汽车、电脑相关的电声组件或其他衍生产品，与以上技术、产品相关的解决方案和服务、进出口业务(不含分销)。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1121,2656,摩登大道,摩登大道时尚集团股份有限公司,广州市,天河区,9.21亿,1.15亿,1531,2012-02-28,--,,男装,主营业务:高级男装服饰的研发设计、品牌推广和零售管理,高级男装服饰的研发设计、品牌推广和零售管理
1122,2657,中科金财,北京中科金财科技股份有限公司,北京市,海淀区,12.26亿,-2.58亿,1048,2012-02-28,--,,其他互联网金融,主营业务:应用软件开发、技术服务及相关的计算机信息系统集成服务,应用软件开发、技术服务及相关的计算机信息系统集成服务
1123,2658,雪迪龙,北京雪迪龙科技股份有限公司,北京市,昌平区,10.84亿,2.13亿,1936,2012-03-09,--,,仪器仪表,主营业务:从事环境监测、工业过程分析、智慧环保及相关服务,从事环境监测、工业过程分析、智慧环保及相关服务
1124,2659,凯文教育,北京凯文德信教育科技股份有限公司,无锡市,江阴市,6.20亿,1958.65万,392,2012-03-09,--,,钢结构,主营业务:教育及教育相关产业,教育及教育相关产业
1125,2660,茂硕电源,茂硕电源科技股份有限公司,深圳市,南山区,16.52亿,2497.32万,2622,2012-03-16,--,,电子零部件,主营业务:SPS开关电源、LED驱动电源、变压器、太阳能光伏逆变器的生产和销售。,SPS开关电源、LED驱动电源、变压器、太阳能光伏逆变器的生产和销售。
1126,2661,克明面业,克明面业股份有限公司,益阳市,南县,22.69亿,1.12亿,3276,2012-03-16,--,,其他食品,主营业务:挂面的生产和销售,挂面的生产和销售
1127,2662,京威股份,北京威卡威汽车零部件股份有限公司,北京市,大兴区,56.88亿,3.24亿,13039,2012-03-09,--,,汽车零部件,主营业务:中高档汽车零部件的研发、生产、销售,中高档汽车零部件的研发、生产、销售
1128,2663,普邦股份,广州普邦园林股份有限公司,广州市,越秀区,35.76亿,1.76亿,2469,2012-03-16,--,,园林工程,"主营业务:园林工程施工、园林景观设计、建筑设计、苗木种植生产以及园林养护业务,可为客户提供包括建筑设计、景观设计、园林工程在内的一体化综合服务。","园林工程施工、园林景观设计、建筑设计、苗木种植生产以及园林养护业务,可为客户提供包括建筑设计、景观设计、园林工程在内的一体化综合服务。"
1129,2664,长鹰信质,长鹰信质科技股份有限公司,台州市,椒江区,24.19亿,2.79亿,2718,2012-03-16,--,,汽车零部件,主营业务:汽车发电机定子及总成、汽车微特电机转子、电动车电机转子、电动工具电机转子、电梯曳引机电机转子、其他电机定子或转子的生产和销售。,汽车发电机定子及总成、汽车微特电机转子、电动车电机转子、电动工具电机转子、电梯曳引机电机转子、其他电机定子或转子的生产和销售。
1130,2665,首航节能,北京首航艾启威节能技术股份有限公司,北京市,大兴区,13.32亿,9330.01万,1359,2012-03-27,--,,制冷空调设备,主营业务:空冷系统的研发、设计、生产和销售,空冷系统的研发、设计、生产和销售
1131,2666,德联集团,广东德联集团股份有限公司,佛山市,南海区,31.45亿,1.57亿,675,2012-03-27,--,,其他化学制品,主营业务:汽车精细化学品的生产和销售，汽车后市场服务,汽车精细化学品的生产和销售，汽车后市场服务
1132,2667,鞍重股份,鞍山重型矿山机器股份有限公司,鞍山市,立山区,1.80亿,2295.16万,404,2012-03-29,--,,矿山冶金机械,主营业务:振动筛的研发、生产与销售,振动筛的研发、生产与销售
1133,2668,奥马电器,广东奥马电器股份有限公司,中山市,中山市,69.64亿,3.99亿,9105,2012-04-16,--,,冰箱、冰柜,主营业务:冰箱制造和销售业务、金融科技业务。,冰箱制造和销售业务、金融科技业务。
